English,Icelandic
addict,fíkla
addiction counselor,fíkniráðgjafi
additional,jók
adds up,ganga upp
adequate,viðunandi
adjust,samhæfa
administration,stjórnsýslu
administration,yfirstjórnendur
administrative division,umdæmi
admit to oneself,gangast við
advanced discourse processing,þróuð orðræðuaðferð
advance,framþróun
advancement,frami
advantage,ávinningurinn
advantage,forskot
advertise,framfæri
aesthete,fagurkeri
affection,ástuð
affection,hlýhug
affection,kærleikur
affect,varða
aftertaste,eftirkeimur
against,mótfallnir
age,eldast
agency,tilstilli
age,öld
aggravate,ergja
aggravation,leiðindi
aggressiveness,offors
agility,liðleiki
agitated,æstur
agony,kvöl
agreed,umsamin
agreed,umsamins
agreed upon,umsamið
agreement,samræmi
agree,semja
ahead,á undan
ahead,framundan
aid,dugir
aid,hjálpartæki
aim,beint
aim,stefnu
air bubble,loftbóla
airfryer,loftsteikingarpottur
airtight,loftþéttur
airwaves,loftbylgjur
alarming,óhugnanlegt
albeit,þó að
albeit,þótt
alert,hnippa í
alertness,árvekni
Algeria,Alsír
algorithm,kennitölur
alibi,fjarvera
alienation,firring
aligned,samröðun
alignment,samröðun orða
alignment,samröðun setninga
alignment,samskipun
alike,álíka
alimony,meðlags
… all at once,... í einum spreng
allegation,framburður
alleged daughter,laundóttir
alleged,meintur
alliance,fylking
allocated indirect costs,úthlutaður óbeinn kostnaður
allocated indirect costs,úthluta óbeinum kostnaði
allocation of indirect costs,úthlutun óbeins kostnaðar (óbk)
all of one's possessions,aleiga
allophones,hljóðbrigði
all over,þvers og kruss
allowed,unnt
allure,lokka
almond,mandla
alone,einsamall
along,meðfram
alongside,jafnframt
a lot,gríðarlegu
alpine skiing,alpagreinar
alternately,víxli
alternating,til skiptis
although,þó að
although,þótt
aluminum,áli
always,æ
always,ætíð
always,ávallt
amaranth,eilífðarblóm
amateur,fúskari
amazed,dolfallinn
amazing,furðulegur
amazing thing,dásemdir
amazing,undraverður
amazing,þvílík
ambiguity,margræðni
ambition,athafnasemi
ambition,metnaður
ambitious,framsækinn
American West,Vesturríkjum Bandaríkjanna
ammonia carbonate,hjartarsalt
among,innbyrðis
amongst,innan um
amortisation,fyrning
AMSL,hæð yfir sjávarmáli
AMSL,h.y.s
amusement park,tívolí
amygdala,mandla
anaemia,blóðleysi
Analysis of variance,dreifigreining
ancestor,ái
anchovy,ansjósa
Andean Cock-of-the-rock,klettahani
androgen insensitivity,andrógenónæmis
androsexuality,karlkynhneigð
and things like that,og þess háttar
and things like that,o.þ.h.
anesthetic,deyfilyf
anger,bræði
anguish,harmkvælum
animal,dýr
animal husbandry,búfjárrækt
animal husbandry,dýrahald
animal skin,hamur
ankle biters,börn
ankle biters,krakkar
ankle biters,rassgat
annotated corpus,mörkuð málheild
announcer,þulur
annoyed,ergilegur
annoying,hvimleiður
annual financial statement,ársreikningur
annual interest,ársvexti
annual percentage rate,árleg hlutfallstala kostnaðar
annuity,jafngreiðsluröð
annul,afturkala
annulment,ógilding
annulment,rifting
annul,riftunar
anonymity,nafnleynd
answer extraction,útdráttur svara
antacid,kalsíumkarbónat
antacid,magalyf
antacid,magapillur
antacid,magasýruhemjandi lyf
antacid,magasýrulyf
antacid,sýrubindandi lyf
antacid,sýruhlutleysir
antenna,fálmari
anteroom,gímald
anticipate,að hafa hugboð
anticipate,borga fyrir
anticipate,búast við
anticipate,eyða fyrirfram
anticipate,finna á sér
anticipate,gera ráð fyrir
anticipate,íhuga fyrirfram
anticipate,njóta
anticipate,sjá
anticipate,sjá fram á
anticipate,sjá fyrir
anticipate,skilja fyrirfram
anticipate,verða á undan
anticipate,verða fyrri til en
anticipate,verða fyrri til með
anticipate,verða of fljótir til
anticipation,væntingar
antigen,vaki
anti-inflammatory medicine,bólgueyðandi lyf
antioxidants,andoxunarefni
antipathy,andúð
anxiolytic,kvíðastillandi
any,nokkru
anyone,nokkru
anyway,hvort eð er
apart from,burtséð frá
Apartheid,Aðskilnaðarstefnan
aphid,blaðlús
API,API
API,forritaskil
appeal,áfryja
appeal,áfrýjunar
appeal,umleitun
appearance,ásýnd
appear as a ghost,gengin aftur
appear,myndast
apple crumble,epla mulningur
application area,verkbúnaðarsvið
application environment,verkbúnaðarumhverfi
application,forrit
application program interface,api
application program interface,forritaskil
application,verkbúnaður
applicator,stjöku
applied indirect costs,úthlutaður óbeinn kostnaður
applied overhead,álagður óbeinn kostnaður
apply,beita
apply,beita við
apply,beitt
apply,bera á
appoint,tilnefna
appreciable,tilfinnanlegt
apprehension,hugarangri
approach,framsetning
appropriate,séð
appropriate,viðeigandi
APR,árleg hlutfallstala kostnaðar
aquaculture,fiskeldi
Aquarius,Vatnsberi
áramótaskaup,áramótaskaup
arboreal,trjálegur
archaising,fyrning
arched,hvelfdum
architecture,byggingarlist
arctic char,bleikja
arctic char,reyður
arctic char,silungur
Arctic Poppy,Melasól
arctic root,burn
arctic root,burnirót
arctic root,Íslensk burnirót
ardour,eldmóður
area,flatarmál
area of interest,áhugasvið
argument definitions,rökliðagreining
Aries,Hrútur
armchair,hægindastóll
armchair,hægindi
armpit,handarkriki
armpit,holhönd
around 3 a.m.,ótta
arrangement,fyrirkomulag
arrangement,ráðstafanir
arrears document,vanskilaskráin
arrears register,vanskilaskrá
arrears registry,vanskilaskráin
arrears,vanskil
arrogance,hroki
arrogance,reigingur
arrogance,yfirlæti
arrogant,hrokafull
arrogant,yfirlætislegur
arrowhead,örvaroddur
arrow,ör
arson,íkveikja
artful,slægur
arthritis,liðagigt
article,greinin
articulate,mælskur
articulation,myndun málhljóða
artificial insemination,glasafrjóvgun
artificial insemination,tæknifrjóvgun
artistic creation,listsköpun
artist,listasmiður
arytenoid,könnubrjósk
as a matter of fact,reyndar
as a whole,solidarísk
asexuality,eikynhneigð
ask,biðja
askew,skáhallt
askew,skáhalt
ask follow-up questions,spyrja meira út af svarið
ask,innt
ask more about,spyrja meira út af svarið
ask,spyrja
as one likes,vild
ass,asni
assassinate me,ráða mig af dögum
assassin,launmorðingi
assault,ráðast
assembly department,samsetningardeild
assembly line,samsetningardeild
assert,fullyrða
assert,gera ráð fyrir
assertion,fullyrðingar
asset,eign
assets,eignir
asshole,skíthæll
assignment,verkefni
assimilate,aðlagast
assimilation,samlögun
Association of Businesswomen in Iceland,Félag Kvenna í Atvinnulífinu
as soon as possible,eins fljótt og auðið er
as such,eftirfarandi
assumed,gert var ráð fyrir
assume,gera ráð fyrir
assume,miða við
assume,sló <> föstu
assumption,forsendum
assumption,forsendur
assured,fullvissaði
asthma,asma
asthma,astma
astounded,agndofa
astounded,forviða
astride,klofvega
astrology,Stjörnufræði
astronomy,Stjarnfræði
astronomy,Stjarnvísindi
astronomy,Stjörnufræði
astute,gáfulegt
at all hours,allan sólarhringinn
at an angle,á ská
ate,smjöttuðu
at first,framan af
 … at full pelt,... í einum spreng
… at full speed,... í einum spreng
atheist,guðleysingi
atmosphere,andrúmsloft
atmosphere,bragur
atmosphere,lofthjúpur
atmosphere,yfirbragð
atomic number,sætistala
atoms,frumeindirnar
at once,jafnskjótt
a trim,snyrting á toppi
at stake,í húfi
attachment,fjárnám
attachment,fjárnáms
attack,aðkast
attack,ráðast
attack,sókn
attendance,tímasókn
attend to,hjúfraði
attend to,sinna
attention,athygli
attention,eftirtekt
attention,hugulsemi
attention,réttstaða
attention,umhyggja
attentively,grant
attest,votta
at that moment,í sömu andrá
at the same moment,í sömu andrá
at the same time,jafnframt
attorney,lögmaður
attractive,aðlaðandi
attribute,eigind
attribute,eiginleiki
at us not with us,af okkur ekki við okkur
auction,uppboðs
audio file,hljóskrá
audit,endurskoðun
auk,svartfugl
authenticate,auðkenna
authoring support,ritstoð
authoring support software,ritstoðarforrit
authoring support systems,ritstoðarkerfi
authoring tools,ritstoðartól
authoritarianism,harðstjórn
authoritatively,munduglega
authority,umboð
authorization,heimild
auto-correlation,sjálfvirku fylgni
autographed,áritað
autograph,eiginhandaráritun
automatic continuous speech recognition,sjálvirk orðaflaumskennsl
automatic hyperlinking,sjálfvirk tenglasetning
automatic language identification,sjálfvirk tungumálskennsl
automatic rule-based parser,sjálfvirkum regluþáttara
automatic text summarization,vélrænn útdráttur
automobile inspection,bifreiðaskoðun
available,liggja fyrir
available,ráðstöfun
avarice,áfergja
avarice,nískan
avaricious,ágjarn
avaricious,nískur
average collection period,innheimtutími krafna
average method,meðaltalsaðferð
avid,sólginn
avoid,forðist
award,viðurkenning
aware,grandsamur
awareness,vitund
awful,agalegur
awfully,ægilega
awkwardly,klaufalega
awry,úrskeiðis
axe,öxi
babble,röfla
babble,rövla
babe,beib
babe,skvísa
backed up by,stuðst
background check,bakgrunnskoðun
background noise,bakgrunnshávaða
backoff,íhörfun
backtracking,rakning
backward chaining,afturkeðjun
backward chaining,bakkeðjun
backwards,aftur á bak
backwards,afturábak
bacteria,gerill
bacterium,gerill
bactracking,rakning
baddie,kallakall
badger,greifingja
badly dressed,hallærislega
bad mood,fýla
bad mood,ólund
bagel,beygla
baggage,föggur
bag,skjóða
baguette,franskbrauð
baguette,snittubrauð
bait,ögn
bait,ögnum
baker's ammonia,hjartarsalt
baking potato,bökun
balanced scorecard,stefnumiðað árangursmat
balance,inneign
balance score,jafnvægisskor
balance sheet,efnahagsreikningur
balance,staða
balance,stöðugleiki
balance,stöðuleiki
ball,dansiball
ballpoint pen,kúlupenni
balls of one's foot,táberg
balsamic vinegar,balsamedik
Baltimore oriole,álmkraki
banality,flatneskja
band,sveit
banger,bíldruslu
bankrupt estate,þrotabú
banner,gunnfánum
baptismal vows,skírnarsáttmálanum
barber,bartskeri
barber shop,rakarastofa
bare-breasted,berbrjósta
bare-breasted,brjóstaber
bare-breasted,topplaus
bark,hreyta
barley,bygg
baroceptor,þrýstinemar
baroreceptor,þrýstinemar
barrel,hólkur
barren moor,móinn
barrier,síls
barrier,tálmar
barrier,þröskuldur
bar,súla
baseball,hafnabolti
baseball,hornabolti
based on,hafa fyrir þeim
based on,með hliðsjón af
based on,miða við
baseline,beislínu
baseline,grunnlína
base year,grunnár
basic need,grunnþarfir
basin,bali
basin,lægð
basis for forming a judgment,forsendur
basis,forsendur
basis,grundvöllur
batch level,lotustig
bat,kylfa
battery,geyminn
battle,bardagi
Bavaria,Bæjaraland
Bavarian cream,frómas
bawl,grenja
bay leaf,lárviðarlauf
beached whale,hvalreki
beach,flæðarmál
beach town,sjávarþorp
be a goner,vera búinn að vera
be a great nuisance,sér til mikils ama
beaker,glerílát
be appropriate,tilheyrir
bear,ala
bear,bar
bearer,handhafa
bear up,harka af sér
be ashamed,blygðast
beast,skíthæll
be at a loss with,vera í tómu tjóni með
beat,beita
beat,berja
beaten,laminn
beats,slög
be busy,vera í óða önn að
become reasonable,vitkast
be customary,tíðkast
bedbug,veggjalús
be dead meat,vera búinn að vera
be done for,vera búinn að vera
bed,rekkja
be driven out,hrökklast
bedrock,berggrunnur
bedrock,fast berg
bedrock,klöpp
bedside,rúmstokkinn
bedtime,háttatími
bedwetting,að pissa undir
bee-eaters,svelgir
beeper,símboðinn
before,á undan
before,framan af
before,fyrirfram
be for,hljóðar upp á
beginner,viðvaningur
beginning balance,upphafsstöðu
begrudge,öfunda
beg,sárbæna
behave badly,kemur illa fram við þig
behave well,kemur vel fram við þig
behavior,framkoma
behavior,taktur
behavior,umgengni
behind the scenes,bak við tjöldin
be impending,aðsigi
be in the soup,sitja í súpunni
be in the soup,sitja í því
be irked,þykkjast við
believe,álitin
believe,gera ráð fyrir
believe,telja
belladonna lily,hjarðlilja
bellow,rymja
bell pepper,paprika
belly,kviður
belonged,tilheyrði
belong,tilheyri
be lowered slowly,síga
beluga,mjaldur
be moved to tears,klökkna
benchmarking,hagnýtra viðmiða
benchmarking,hagnýt viðmið
benchmark,við mat
bench press,bekkpressa
benefit,gagn
benefit,hagur
benefit,hlunnindi
benefit,kostur
benefit,skila
benefits,kosta
benighted,hjúpaður í myrkri
benighted,sem lendir í myrkri
be on one's guard,varðbergi
be on the lookout,varðbergi
be on the rise,vera í sókn
be on track,er í farvegi
be outstanding,skara fram úr
be over,vera búinn að vera
bequeath,arfleiða
Bergen,Björgvin
berth,rúmklefi
be satisfied,una
beside,við hliðina á
bespoke,sérsníða
be,standa
best estimate,matskennd fjáhæð
be sunk,vera búinn að vera
be the victor,með pálmann í höndum
be toast,vera búinn að vera
better,skárri
between,innbyrðis
be unimposing before you go,láta lítið fyrir þér fara
be usual,tíðkast
be visible,sjást
beyond,umfram
bias,eftirlæti
bibliography,heimildaöflun
bibliography,heimildaskrá
biceps,tvíhöfði
bidirectional tagger,tvístefnumarkari
big crowd,fjölmenni
big,megnri
bigram,tvennd
bigram,tvístæða
bike seat,hnakkur
bilateral,gagnkvæm
bile,gall
bilingual text corpus,tvímála málheild
bill of exchange,víxill
bill of exchange,víxils
bill of lading,farmskirteini
binary,tvíundakerfi
binge,hám
binge,háma
binge,hámhorf
binturong,svartur bjarnköttur
birch,björk
bird chirp,fuglakvak
bisexuality,tvíkynhneigð
bit,bútur
biting midge,lúsmý
blade of grass,strá
blade,strá
blah blah blah,daddaradadd
blame somebody,áfelldist
blast,spýta
bleach,bleikiklór
bleachers,áhorfendastúku
bleach solution,bleikiklórupplausnina
bleat,jarma
blight,blettur
blinds,gluggatjöld
bling,glingur
blizzard,blindbylur
blizzard,hríðarbylur
bloated,bólginn
blockage,óhroða
blockhead,auli
blockhead,bjáni
block,klossi
blood circulation,blóðrásin
blood clot,blóðtappi
blood relationship,sifjar
blood vessel,æð
blow away,fjúka
blow,högg
bluebell,bláklukkur
blue cheese,blámygluostur
blue cheese,gráðaostur
blue cheese,gráðostur
blue marlin,marlín
blue marlin,merlingur
blue marlin,oddnefur
bluff,málalengingar
blunder,glöp
blunt,skorinorður
blunt,sljóvga
blustery weather,hvassviðri
board,fæði
board members,hæstaráðendur
boast,monta
bobble,hnökri
bobcat,rauðgaupa
body language,líkamstjáning
body,skrokkinn
body,skrokkurinn
bog hole,fúafen
boil,bulla
boiling mad,sjóða
boiling,sjóða
boil over,sjóða upp úr
boils down to,sé fólginn í
boil,sjóða
boil,suða
bold,frekur
bold,kræfur
bolt,fælast
bone-weary,þrekaður
bookkeepers,bókarar
boom,dynja
boorish,ruddist
boot,klossi
boot,skotta
bootstrapping approach,gagnkvæm hringrás
bootstrapping approach,sjálfkvæm nálgun
booze,bús
borage,hjólkróna
border,jaðar
borderline personality disorder,hambrigðapersónuleikaróskun
boreal forest,barrskógabeltið
borrowing,lántökur
boss,yfirmaður
bother,ergja
both sides,báðum megin
both sides,b/m
bottlenecks,flöskuhálsa
bottom-up,neðansækinn
bouillon,kraftur
boulder,grjótglíma
boulder,hnullungur
boundary,jaðar
boundarylessness,markaleysi
bowels,iður
bowel,þörmum
bow,hneigði
boycott,sniðganga
boy,snáði
bracelet,armband
brag,hæla
brain cell,heilafruma
brainwash,heilaþvo
brake housing,bremsubarki
branch,greinin
brave,hugdjarfur
brave,hugprúður
brazen,blygðunarlaus
brazen,ósvífinn
brazier,glóðarpanna
brazier,messingssmiður
breach of contract,vanefndir
breakdown,bilun
breakdown truck,kranabíla
break-even,skurðpunkt tekna og gjalda
break free,sleit
break,riftunar
breathless,mæði
breathless,móður
brick wall,múrvegginn
bright,skær
brilliant,bráðsnjall
brilliant,framúrskarandi
brill type tagger,markari brills
bring,barst
bring,bera
brink,brún
brittle,brothætt
brittle,stökkur
broaden,breikka
broken,bilun
broken,bjagaður
broken down,vélarvana
brokerage account,vörslureikningur
brooch,brjóstnál
brood,krakkaskari
broom,lyng
broom,sópur
browse,blaða
brusquely,hranalega
bubble,bólur
bubble,bulla
buckle,kikna
budgetary planning,áætlanagerð
budgeted balance sheet,efnahagsáætlun
budgeted cost,áætlaður kostnaður
bug,ergja
building material,efniviður
bulb,blómlaukur
bulldog,bolabítar
bulldozer,jarðýta
bulletproof,skotheldur
bullshit,bulla
bully,bulla
bully,dólgur
bulwark,varnarveggir
bum-flap,rassflipanum
bump,bólguhnúður
bumper,högghlíf
bumper,stuðarann
bump,kúla
bump,reka
bump somebody off,kála
bum,róni
bungler,klaufi
bunny,kanína
burden,óbeinn kostnaður
bureaucracy,skrifræði
burner,hella
burning,sviði
burn,logar
burst,gusa
bury,grafa
bushfire,sinueldur
bush,runni
business,bransi
business letter,viðskiptabréfi
business presentation,fjárfestakynningur
busy,önnum kafin
butler,bryti
butler,þjónn
button,hneppa
button mushroom,matkempa
button up,hneppa
buzz,stuð
buzz,suða
by all accounts,í hvívetna
by all means,um að gera
by,framhjá
by heart,utan að
cabin,káeta
cabin,káetunni
cable housing,barki
cabling,raflögn
cage,búr
caiques,seglskip
cake,terta
calculated,reiknast
calisthenics,leikfimiæfingar
call,hóa
call in (a loan),gjaldfella
call names,uppnefna
calls,innkallanir
callus,sigg
calm and quiet,með kyrrum kjörum
camel,kameldýr
camel,úlfaldi
camp,bækistöð
camping stove,prímus
can be,unnt
can,brúsi
cancel,afboða
cancellation,niðurfelling
cancelled,falla niður
cancer,krabbamein
cancer,krabbi
Cancer,Krabbi
Cancer,Krabbinn
candidacy,framboð
candidate,frambjóðandi
candidate,umsækjandi
candy,nammi
can,geta
can mean,af kann að leiða
canned,niðursoðinn
cannister,dolla
canteen,háma
canvas bag,segldúkspoki
canvas,segldúkur
canvas,strigi
capelin,loðnu
capital,fjármagn
capitulation,uppgjöfin
Capo Verde,Grænhöfðaeyjar
Capricorn,Steingeit
capsicum,paprika
captivate,gagntaka
Carabus nemoralis,varmasmiður
Carabus problematicus,tröllasmiður
carbohydrate,kolvetni
cardboard,pappi
cardboard sleeve,pappahólkinn
cardiac muscle,hjartavöðvi
card,þynna
care,aðgát
care,árvekni
career criminal,atvinnubófi
career,ferill
career,lífshlaup
careful,gaumgæfilegur
carefulness,aðgát
carefulness,árvekni
careful,varkár
caregivers,umönnunaraðila
carelessness,gáleysi
care of (c/o),berist til b.t.
carer,uppalanda
caresses,atlot
care,umhirða
care,umhyggja
care,umönnun
cargo,farmur
cargo roof box,farangursbox
cargo roof box,ferðabox
cargo roof box,tengdamömmubox
car hitch,dráttarkúla
car hitch,kúlutengi
car hook,dráttarkúla
car hook,kúlutengi
caricature,skrípamyndir
carry,bar
carry,barst
carry,bera
carrying value of the bond,bókfært verð af skulduna
carry out,efna
carry out,innt
cartilage,brjósk
cartilage,brjóskflögur
carved,ristur
carved,útskorinn
case,ver
cash agent,greiðslubanki
cash flow,sjóðstreymi
cash payment,staðgreiðsla
cash sale,staðgreiðslusala
castle,slot
catch,ná
catch on,fatta
catchy,grípandi
categorial grammar,frumflokkamálfræði
categorization,frumflokkun
catfish,grana
catfishing,falsfiskum
catfish,sladdi
catfish,steinbítur
cat ownership,kattahald
cat ownership,kattahold
cat's tail,stýri
cattle,nautpeningur
caught wind,fékk veður
cause,olli
cause,orsakir
cause,verki
caution,aðgát
caution,árvekni
cautious,varkár
cavalier,áhyggjulaus
cavalier,kæruleysislegur
cavalier,mikillátur
cavalier,óháður
cavalier,riddaralegur
cavalier,spjátrungslegur
cavalier,yfirlætislegur
cavalier,þóttafullur
caveat emptor,aðgæsluskyldu
cave in,hrynja
ceaseless,þrotlaus
celebration,tilefni
cell mutations,frumubreytingar
cellulose,jurtabeðmi
center-back,miðvörn
central,miðlægum
central nervous system,miðtaugakerfið
central tendency,miðsækni
century,aldarinnar
century,öld
ceramicist,leirkerasmiður
ceramist,leirkerasmiður
Ceratopogonidae,lúsmý
cereal,korn
ceremony,vígsla
certification,réttindi
certified,löggiltur
chain,keðja
chainsaw,keðjusög
chalkboard,skólatafla
challenge,áskorun
champagne,kampavín
chance,færi
chance,forvöð
chance it,hætt á
chance,möguleika
change,breyta
change of measure,málskipti
change,snúast
chaos,þvögunni
chapstick,varasalvi
characteristic,eiginleiki
characteristic,eiginleikunum
chard,blaðbeta
chard,silfurbeðja
charge,gjaldfæra
charge,kæra
charity work,góðgerðastarf
charming,aðlaðandi
charming,heillaður
charming,heillandi
charm,sjarmi
chat,kjaftaðu
chatter,mala
chatter,skvaldrið
check,aðgæti
check,athugun
checkbox,reit
check,gá
checkmate,mát
checkmate,skák og mát
check-up,skoðun
check whether,ganga úr skugga um
cheek,vanga
cheerful,kátur
cheese pizza,margarita pizza
chemical weapon,efnavopn
cherish,varðveitir
chest,brjóstkassann
chest cavity,brjóstholi
chest of drawers,kommóða
chewed mouthful,tuggði
chick,skvísa
chick,ungi
chiefly,aðallega
childhood,bernska
child maintenance,meðlags
child,peð
child prodigy,afburðargreindur
childrens' garage sale,tombóla
child support,meðlags
chimney,skorsteini
chimney,súla
chimney sweep,sótari
chin,haka
chink,raufina
chip,flís
chips,flögur
chisel,meitill
Chi-square,kí-kvaðrat
chit-chat,málalengingar
chloramines,klóramín
chocoholic,súkkulaðisjúklingur
chocolates,konfekt
choice,kostur
chop,saxa
choreographer,danshöfundur
choreography,dansgerð
choreography,danshönnun
choreography,danssmíði
choreography,samræming hreyfinga
chorus,viðlag
christmas melon,mélona græn
chromatography,litskilja
chromatography,litskiljun
chunk,bagga
chunk,baggi
chunk,hlunkur
chunking,böggun
chute,lyftustokkinn
cigar,vindill
circular,hringlaga
citizenship,ríkisfang
civic duty,borgaraskylda
civilization,heimsmenning
civilization,menningarheimur
claimant,kröfuhafi
claim,fullyrðingar
claim,heimtingu
claim,krafna
claim,kváðust
claim right,kröfurétti
claim right,kröfuréttindum
clairvoyant gift,ófreskigáfa
clairvoyant,ófreskur
clamber,klöngruðust
clan,ættbálkur
clap,hvellur
clarify,skýrt
clasped hands,fléttaði fingrum
class,áfangi
class,bekkur
class essay,stíll
class,flokkur
class,stétt
clavicle,viðbein
clay pot,leirker
clearance sale,rýmingarsala
clear-cut,skilmerkilega
clearing,rjóður
clearly,glöggt
clear one's throat,ræskja
clear,ryðja
clear,tær
cleat,takkaskór
clench your teeth,bíttu á jaxlinn
clever,gáfulegt
cleverness,kænska
click-on gas,smellugas
click,smell
click,smellti
client,skjólstæðingur
cliff-edge,nöf
cliff wall,hamraveggnum
climbable,kleifur
clip,myndskeið
cloak,skikkja
clog,klossi
close cut,snoðklippa
closely related,nákomnir
closely related,nákomnum
closely related,náskyldur
closeout sale,rýmingarsala
close range,dauðafæri
closing down sale,rýmingarsala
closing inventory,lokabirgðir
cloth,dúkur
cloud cover,skýjahula
cloudy,dimmur
cloudy mood,þungbúinn
cloudy pillar,skýstolpi
cloudy,skýaður
cloudy,skýjaður
cloudy writer,óljós
cloudy,þykkur
clove,geiri
clove,negull
clove,negulnagli
clove,rif
clumsy,klaufalega
cluster,hvirfing
clustering,þyrpa
clustering,þyrping
coach,áætlunarbíl
coating,húðun
cobra,gleraugnaslanga
cocksure,rogginn
cocktail,hanastél
cocky,rogginn
cocoa liquor,kakómassi
cocoa powder,kakóduft
coconut flakes,kókosmjöl
coddle,eftirlæti
codeine,kódein
codeine,parkódín
code,kóða
code,kóta
code,kóti
codependence booklet,meðvirknikver
codependent,meðvirka
codependent,meðvirkt
codependents,meðvirkla
code-switching,málskipti
coding and compression,kóðun og þjöppun
coding and compression,kótun og þjöppun
coding tool,kóðunartól
coding tool,kóðunarverkfæri
coding tool,kótunartól
coding tool,kótunarverkfæri
coffee table,sófaborð
COGM(cost of goods manufactured),Kostnaðarverð framleiddra vara
cognitive behavioral therapy,hugræn atferlismeðferð
cognizant,grandsamur
COGS(cost of goods sold),KSV(Kostnaðarverð seldra vara)
coil,gormur
cold and damp,hráslagalegir
cold-calling,óundirbúin
cold sores,frunsu
coleus,kólus
collapse,hrynja
collarbone,viðbein
collar,hólkur
collateral,veði
collect,innheimtist
collection letter,kröfubréf
collection of texts,textasafn
collection time period,innheimtutími
collective noun,safnheitir
collide,rekast á
collocational features,orðastæðuþættir
collocational features,samstæðuþættir
collocations,orðastæður
collocations,samstæður
collusion,samsæri
colomn,súla
colorful,litadýrð
colostomy bag,hægðapoki
colt,foli
column,pistill
column,súla
coma,dá
combat,bardagi
combination lock,stafalás
combining,samsetning
comb,kemba
come about,tilkomin
come along,slást
come back,skila sér
comedy,gamanmynd
comfort,hugga
comfort,makindum
commentator,umsagnaraðili
commercial document,viðskiptabréfi
commercial paper,viðskiptabréf
commission,söluþóknun
common dolphin,eiginlegur höfrungur
common dolphin,hundfiskur
common dolphin,léttir
commonhold,fjóleignarhús
commonhold,fjöleignarhús
common knowledge,alkunna
common sense,skynsemi
Common snipe,hrossagaukur
common voice,samrómur
commotion,uppþot
companion,fylgdarmaður
company,samneyti
compared to,miða við
compared with,miðað við
compass,áttaviti
compel,knýja
compell,knýja
compel,neyða
compel,þvinga
compensation responsibility,fébótaábyrgð
compensation responsibility,skaðabótaábyrgð
compensation,skaðabóta
compete,kapp
competent,fullfær
competitive,samkeppnishæft
compile,sjóða saman
complain,barma
complaint,kæra
complaint,sókn
complementary distribution,fyllidreifingu
complete fulfillment,fullar efndir
complete,fullunnar
completely,aldeilis
completely,algerlega
completely,alveg
completely impartial,bláhlutlaus
completely reliable,pottþétt
complex,margbrotinn
