Icelandic,English
eindarvarúð,microprudential
ágreiningur,dispute
förgun,disposal
farga,dispose of
farga,kill
háttsemi,
atvinnuskyni,
yfirfærslu,
landhelgi,
umdæmis,
lausafjármunum,inventory
lausafjármunum,moveable assets
aðgát,
varning,merchandise
haldsréttur,lien
ágreiningur,dissent
lögjöfnun,
lúta,
hjúskap,marriage
hjúskap,matrimony
afsal,deed
afsal,title deed
úrbóta,improvement
úrbóta,reform
una,be satisfied
una,stay
una,linger
sé,
tiltölu,relative
nýmæli,novelty
ágalli,defect
ágalli,fault
rýri,diminish
rýri,reduce
saknæma,criminal
saknæma,punishable
smávægilegir,insignificant
smávægilegir,petty
riftunar,annul
riftunar,break
skaðabóta,compensation
skaðabóta,damages
hlutlæga,objective
grandlaus,in good faith
grandlaus,unsuspecting
grandlaus,oblivious
missis,loss
missis,deprivation
stöðvunarrétt,right of suspension
afhendingardrátt,right of suspension
afhendingardrátt,delivery delay
stöðvunarrétt,delivery delay
haldið eftir greiðslu,retain payment
hallann,deficit
hallann,loss
annast,manage
annast,take care of
kváðust,claim
kváðust,say
kváðust,state
skýrt,explain
skýrt,clarify
gólfsiginu,floor subsidence
áfátt,lacking
aðgæsluskyldu,caveat emptor
síðbúnum,late
síðbúnum,tardy
fébótaábyrgð,compensation responsibility
skaðabótaábyrgð,compensation responsibility
lögráða,statutory
sviptir,take away
sviptir,deprive
fela,entrust with
rétt úr garði gerð,done correctly
áritun,endorsement
áritun,signature
gagnaöflunar,data collection
gagnaöflunar,research
í beinan legg,direct relatives
skjótur,quick
skjótur,ready-witted
skjótur,cursory
skjótur,rapid
skjótur,swift
skjótur,prompt
skjótur,speedy
skjótur,instant
skjótur,expeditious
skjótur,expedite
skjótur,early
skjótur,winged
skjótur,wingy
skjótur,round
skjótur,ready
skjótur,rattling
veðbókarvottorði,title deed
orðsendingu,message
skjótra,swift
framseldur,transfer
framseldur,hand over
gætt,keep
gætt,guard
grandsamur,cognizant
grandsamur,aware
grandsamur,in bad faith
barst,carry
barst,bring
hliðsjón,consult
hliðsjón,consideration
hliðsjón,use
hliðsjón,refer
jarðalögum,land legislation
ábúendur,occupants
tilskilins,stipulations
tilskilins,conditions
tilskilins,requisite
fjóleignarhús,commonhold
fjöleignarhús,jointly-owned building
réttarstöðu,legal status
viðhald,maintenance
viðhald,upkeep
viðgerðir,repair
viðgerðir,fixing
færðir,move
færðir,shift
hlotið,must
hlotið,have to
velferðarráðuneytisins,welfare ministry
kattahold,cat ownership
kattahold,keeping cats
brotlega,guilty
fram kom,revealed
fram kom,emerged
bær,move
bær,stir
bær,disturb
varðveislu,storage
varðveislu,keeping
varðveislu,preservation
jafnframt,at the same time
jafnframt,alongside
æðsta,highest
æðsta,supreme
óskoraðan,unlimited
óskoraðan,total
fyrirkomulag,arrangement
fyrirkomulag,system
viðbygginar,extension
setningu,opening
stöðvuð,stop
stöðvuð,halt
mótfallnir,against
fjöleignarhús,commonhold
fjöleignarhús,jointly-owned building
réttarstöðu,legal status
viðhald,maintenance
viðhald,upkeep
viðgerðir,repair
viðgerðir,fixing
færðir,moved
færðir,shifted
hlotið,must've
hlotið,had to
velferðarráðuneytisins,welfare ministry
kattahald,cat ownership
kattahald,keeping cats
brotlega,guilty
fram kom,revealed
fram kom,emerged
bær,move
bær,stir
bær,disturb
dýran búnað,expensive equipment
tíðkast,be customary
tíðkast,be usual
tíunduð,to tithe
tíunduð,rehearse
tíunduð,list
tíunduð,iterate
vanrækslu,negligence
vanrækslu,neglect
afnotahafa,usage rights owner
ríkari,
ætíð,always
samhljóða,unanimous
samhljóða,identical
skjalapappír,legal bond
umsöndun,
ótvírætt,unequivocal
ótvírætt,indubitable
ótvírætt,decisive
vanrækt,neglected
vanrækt,uncared for
umsamins,agreed
fyrirhugaða,planned
fyrirhugaða,intended
rúður,
vatnskrönum,faucet
ábótavant,defective
ábótavant,inadequate
varð þess var,
annmörkunum,shortcoming
annmörkunum,defect
annmörkunum,fault
annmörkunum,flaw
bót,remedy
bót,cure
bót,patch
hlaust,get
hlaust,must
réttmætri,legality
réttmætri,validity
starfrækti,operate
starfrækti,manage
starfrækti,run
gagnkvænum,mutuality
gagnkvænum,reciprocity
leiguhæfu,rentable
vísitölu,index
senn,soon
raftenglum,
smálegu,
hreinlætistækjum,sanitary devices
raktar,
fylgifé,
vanrækslu,negligence
vanrækslu,neglect
yfirsjónar,
gólfdúka,
slitlag,protective covering
slitlag,paving
millibili,interval
millibili,interim
millibili,space
aðfinnslum,reprobation
aðfinnslum,criticism
aðfinnslum,fault finding
dráttarvaxta,interest on arrears
dráttarvaxta,penal interest
víxli,alternately
víxli,interchange
víxli,rotate
viðskiptabréfi,business letter
viðskiptabréfi,commercial document
varðveitir,keep
varðveitir,preserve
varðveitir,cherish
húsgjöld,
framlög,contribution
framlög,donation
vanefndir,noncompliance
framfæri,advertise
framfæri,mention
framfæri,maintenance
framfæri,support
úrskurðum,decision
úrskurðum,ruling
úrskurðum,verdict
skjóta,shoot
skjóta,fire
skilmerkilega,clear-cut
skilmerkilega,understandable
framfæri,support
ágreiningsefnið,
vanefndir,non-compliance
vanefndir, breach of contract
vanefndir,default
kröfuréttindum,law of obligations
kröfuréttindum,claim right
dauðdagi,
kröfuhafi,creditor
kröfuhafi,claimant
heimtingu,claim
heimtingu,exaction
herðar,shoulders
vandkvæði,problem
vankvæði,obstacle
vankvæði,complication
fullar efndir,complete fulfillment
greiðsludráttur,late payment
fólgin,
vanheimild,
betri réttur,
fyrirstöðu,in the way
drattarvextir,interest on arrears
gagnaaðilinn,
innt,ask
innt,perform
innt,make
innt,carry out
sómasamlega,satisfactory
sómasamlega,presentable
inna af hendi,get something done
inna af hendi,perform
rýrnað,deteriorated
gagnaðilinn,
gagnkvæmum,
afborgunarkaup,
útilokað,
vandmeðfarið,
frumkvæði,
þar með,thus
þar með,with that
þar með,thereby
fundnar út,
settur,
ógildur,invalid
ógildur,void
ógildur,disqualified
frammi,front
aðfarargerðir,
aðfararlögum,
víxils,bill of exchange
víxils,draft
víxils,promissary note
in natura,in kind
samkvæmtefnisinu,in kind
forgörðum,
fruminnheimtu,
réttarfarslaga,
atvinnuskyni,
innheimtuleyfi,
ákvæði,
kveða,
